emotion,outcome,estimate,se,df,t,p_raw,ci95_low,ci95_high,n_ratings,n_workers,p_holm,significant
admiration,naturalness,4.0600000000000005,0.5088985928235387,10.88709677419355,0.11790168187948907,0.45414631955783163,2.9385029393781066,5.181497060621894,50,15,1.0,False
admiration,emotion_match,4.040000000000001,0.42368751587828407,10.88709677419355,0.09440920135936227,0.46324962241498774,3.1062888237844843,4.9737111762155175,50,15,1.0,False
admiration,coordination,4.08,0.43183330117071805,10.88709677419355,0.1852566714589096,0.4282169202161669,3.128337360780361,5.031662639219639,50,15,1.0,False
admiration,believability,3.9400000000000004,0.46212071534995663,10.88709677419355,-0.1298362051451482,0.5504681130659842,2.9215907702909036,4.958409229709098,50,15,1.0,False
anger,naturalness,5.140000000000001,0.5399259208447026,10.88709677419355,2.1114007607126823,0.029344886305230727,3.950125746622236,6.329874253377765,50,15,1.0,False
anger,emotion_match,5.5600000000000005,0.3890158522905377,10.88709677419355,4.010119358413471,0.0010462778045704985,4.702697305452288,6.417302694547713,50,15,0.08997989119306288,False
anger,coordination,5.16,0.5296288008281524,10.88709677419355,2.1902132176085773,0.025597017032449043,3.992818263352059,6.327181736647941,50,15,1.0,False
anger,believability,5.120000000000001,0.5336748906299499,10.88709677419355,2.0986559788824857,0.029997838250867003,3.9439015992391733,6.296098400760829,50,15,1.0,False
disappointment,naturalness,4.54,0.5098932350121065,10.88709677419355,1.0590452332382458,0.1562551563167973,3.4163109736179726,5.663689026382027,50,15,1.0,False
disappointment,emotion_match,4.840000000000001,0.37173467240313585,10.88709677419355,2.2596762216709347,0.022676435927438378,4.020781105881502,5.659218894118499,50,15,1.0,False
disappointment,coordination,4.48,0.4989321931218043,10.88709677419355,0.9620545769890179,0.17845162108345566,3.3804666235542853,5.579533376445715,50,15,1.0,False
disappointment,believability,4.460000000000001,0.4675705532026395,10.88709677419355,0.98380874682808,0.1732840138416294,3.429580563898431,5.49041943610157,50,15,1.0,False
disliking,naturalness,4.86,0.4941434789388381,10.781599403684375,1.7403852052177857,0.055106425324269535,3.7697035268993027,5.950296473100698,50,15,1.0,False
disliking,emotion_match,5.08,0.3864827148643118,10.781599403684375,2.7944328645568834,0.008876652392915851,4.227250224093117,5.932749775906883,50,15,0.6835022342545205,False
disliking,coordination,4.640000000000001,0.45904248169423284,10.781599403684375,1.394206474394026,0.09566016203429194,3.62715166722546,5.652848332774541,50,15,1.0,False
disliking,believability,4.74,0.47102724620415193,10.781599403684375,1.5710343848756267,0.07251891407727616,3.7007080389412854,5.779291961058715,50,15,1.0,False
