outcome,estimate,se,df,t,p_raw,ci95_low,ci95_high,n_ratings,n_workers,p_holm
naturalness,4.790000000000001,0.46250990111755697,11.213555943184643,1.7080715420170112,0.057561990094043725,3.7743828928639997,5.805617107136002,1100,18,0.17268597028213117
emotion_match,5.046363636363637,0.3553955620286245,11.213555943184643,2.9442225738298893,0.006549280676927402,4.265956964583561,5.826770308143713,1100,18,0.02619712270770961
coordination,4.754545454545455,0.4429126610793066,11.213555943184643,1.7035987472264835,0.05798851099608462,3.781961571535912,5.727129337554998,1100,18,0.17268597028213117
believability,4.74,0.4436623191612357,11.213555943184643,1.6679352021578138,0.061491467483018716,3.7657699563987155,5.714230043601285,1100,18,0.17268597028213117
