emotion,outcome,condition,mean,ci95_low,ci95_high,n_ratings,n_workers,n_scenarios,bootstrap_valid,bootstrap_requested,ci_status
gloating,naturalness,expression,4.840000000000001,3.7482058080808085,5.8069155844155835,50,15,5,2000,2000,ok
gloating,naturalness,noexpression,4.0200000000000005,3.0520128205128207,4.9225937950937935,50,15,5,2000,2000,ok
gratification,believability,expression,5.0200000000000005,4.014262626262626,5.822222222222222,50,15,5,2000,2000,ok
gratification,believability,noexpression,3.6199999999999997,2.603916305916306,4.700348124098123,50,15,5,2000,2000,ok
gratification,coordination,expression,4.88,3.8645757575757576,5.67290909090909,50,15,5,2000,2000,ok
gratification,coordination,noexpression,3.9799999999999995,3.0790411255411256,4.9447132034632,50,15,5,2000,2000,ok
gratification,emotion_match,expression,5.02,4.10965800865801,5.7421792929292925,50,15,5,2000,2000,ok
gratification,emotion_match,noexpression,3.5,2.503700757575758,4.546468253968254,50,15,5,2000,2000,ok
gratification,naturalness,expression,5.08,4.057663419913419,5.92520202020202,50,15,5,2000,2000,ok
gratification,naturalness,noexpression,3.6399999999999997,2.751659090909091,4.60121626984127,50,15,5,2000,2000,ok
gratitude,believability,expression,4.680000000000001,3.7161507936507943,5.565941919191919,50,15,5,2000,2000,ok
gratitude,believability,noexpression,3.56,2.6430959595959593,4.54200018037518,50,15,5,2000,2000,ok
gratitude,coordination,expression,4.68,3.7246275252525254,5.438075036075037,50,15,5,2000,2000,ok
gratitude,coordination,noexpression,4.0200000000000005,3.1287499999999997,4.908888888888889,50,15,5,2000,2000,ok
gratitude,emotion_match,expression,4.9,4.17853354978355,5.6014130869130865,50,15,5,2000,2000,ok
gratitude,emotion_match,noexpression,3.4,2.4349737345987346,4.440659992784993,50,15,5,2000,2000,ok
gratitude,naturalness,expression,4.720000000000001,3.653282051282052,5.697857683982684,50,15,5,2000,2000,ok
gratitude,naturalness,noexpression,3.6,2.7147199467199465,4.534674603174603,50,15,5,2000,2000,ok
happyfor,believability,expression,4.96,3.978410714285715,5.719239898989899,50,15,5,2000,2000,ok
happyfor,believability,noexpression,3.4799999999999995,2.375193556443557,4.678220238095237,50,15,5,2000,2000,ok
happyfor,coordination,expression,5.0200000000000005,3.9904107142857144,5.7972057942057935,50,15,5,2000,2000,ok
happyfor,coordination,noexpression,3.88,2.845852272727273,4.943361111111111,50,15,5,2000,2000,ok
happyfor,emotion_match,expression,5.220000000000001,4.185464646464647,6.0111607142857135,50,15,5,2000,2000,ok
happyfor,emotion_match,noexpression,3.38,2.252330586080586,4.542779761904762,50,15,5,2000,2000,ok
happyfor,naturalness,expression,4.9,3.8953333333333333,5.7715218253968255,50,15,5,2000,2000,ok
happyfor,naturalness,noexpression,3.8,2.774508741258741,4.9554209956709965,50,15,5,2000,2000,ok
hope,believability,expression,4.2,3.2989397824397835,5.111450396825396,50,15,5,2000,2000,ok
hope,believability,noexpression,3.6,2.522249417249417,4.74344264069264,50,15,5,2000,2000,ok
hope,coordination,expression,4.4399999999999995,3.648858585858586,5.2056547619047615,50,15,5,2000,2000,ok
hope,coordination,noexpression,4.1000000000000005,3.0776827200577204,5.091861888111888,50,15,5,2000,2000,ok
hope,emotion_match,expression,4.34,3.4191174242424243,5.204572150072149,50,15,5,2000,2000,ok
hope,emotion_match,noexpression,3.5799999999999996,2.4555075757575757,4.765410353535352,50,15,5,2000,2000,ok
hope,naturalness,expression,4.220000000000001,3.199049533799534,5.204720279720279,50,15,5,2000,2000,ok
hope,naturalness,noexpression,3.7,2.67793740981241,4.7956996753246734,50,15,5,2000,2000,ok
joy,believability,expression,5.000000000000001,4.191818181818181,5.642821386946387,50,15,5,2000,2000,ok
joy,believability,noexpression,3.4799999999999995,2.386363816738817,4.653388888888888,50,15,5,2000,2000,ok
joy,coordination,expression,5.08,4.255022727272727,5.73519246031746,50,15,5,2000,2000,ok
joy,coordination,noexpression,3.88,2.857933316683317,4.939956709956709,50,15,5,2000,2000,ok
joy,emotion_match,expression,5.359999999999999,4.816522727272727,5.869876803751803,50,15,5,2000,2000,ok
joy,emotion_match,noexpression,3.34,2.1670156926406925,4.57465367965368,50,15,5,2000,2000,ok
joy,naturalness,expression,5.1,4.213928127428128,5.875029761904762,50,15,5,2000,2000,ok
joy,naturalness,noexpression,3.7600000000000002,2.806037296037296,4.8350407231657195,50,15,5,2000,2000,ok
liking,believability,expression,4.6,3.6696331168831176,5.296615634365634,50,15,5,2000,2000,ok
liking,believability,noexpression,3.56,2.446729797979798,4.761010822510822,50,15,5,2000,2000,ok
liking,coordination,expression,4.74,3.770962121212121,5.48992334054834,50,15,5,2000,2000,ok
liking,coordination,noexpression,3.960000000000001,3.040637237762238,4.970035714285714,50,15,5,2000,2000,ok
liking,emotion_match,expression,4.9,4.170052308802309,5.520224358974359,50,15,5,2000,2000,ok
liking,emotion_match,noexpression,3.3,2.2275039682539686,4.450651515151514,50,15,5,2000,2000,ok
liking,naturalness,expression,4.6,3.684641414141414,5.3255320512820505,50,15,5,2000,2000,ok
liking,naturalness,noexpression,3.8600000000000003,2.9323180014430013,4.935094696969697,50,15,5,2000,2000,ok
pity,believability,expression,4.6,3.682896645021645,5.4199810606060606,50,15,5,2000,2000,ok
pity,believability,noexpression,3.2600000000000002,2.1866428571428576,4.413791958041957,50,15,5,2000,2000,ok
pity,coordination,expression,4.619999999999999,3.71039411976912,5.371130050505049,50,15,5,2000,2000,ok
