emotion,outcome,n_ratings,n_workers,status,mean_expression,mean_minus_4,se,z,p_greater,mean_ci95_low,mean_ci95_high,diagnostic,p_holm,significant_holm_05,few_worker_clusters
admiration,naturalness,50,15,ok,4.2540811306952495,0.2540811306952495,0.39775988363964926,0.638780181576668,0.261482971350389,3.474471758761537,5.0336905026289624,,0.3968573472351158,False,True
admiration,emotion_match,50,15,ok,3.9747681716200125,-0.025231828379987498,0.3369318442361224,-0.07488703965394554,0.529847705770865,3.3143817569172125,4.6351545863228125,,0.529847705770865,False,True
admiration,coordination,50,15,ok,4.083499228882147,0.08349922888214678,0.3347916874643116,0.24940651757086324,0.4015231720617732,3.427307521452096,4.739690936312197,,0.7750308661367602,False,True
admiration,believability,50,15,ok,4.080436984173062,0.08043698417306189,0.3392561513042006,0.2370980861034897,0.40629034855475393,3.4154949276168285,4.745379040729295,,0.5223385360224331,False,True
anger,naturalness,50,15,ok,5.3486152845653745,1.3486152845653745,0.3718674065544167,3.626602549175083,0.00014358739996781378,4.619755167718718,6.077475401412031,,0.0030153353993240895,True,True
anger,emotion_match,50,15,ok,5.683753923085147,1.6837539230851473,0.31795171529413824,5.2956277387197,5.930412325525698e-08,5.060568561108636,6.306939285061659,,1.1860824651051396e-06,True,True
anger,coordination,50,15,ok,5.261702191022207,1.2617021910222066,0.36654648195268147,3.44213422619913,0.0002885718979481003,4.543271086394951,5.980133295649463,,0.006060009856910107,True,True
anger,believability,50,15,ok,5.329290259797106,1.329290259797106,0.3547577278312283,3.7470367958538167,8.946792319757113e-05,4.633965113247898,6.024615406346314,,0.0018788263871489937,True,True
disappointment,naturalness,50,15,ok,4.446169352389463,0.44616935238946276,0.4115573584890183,1.0841000487210777,0.1391602206280898,3.639516929750987,5.252821775027939,,0.3968573472351158,False,True
disappointment,emotion_match,50,15,ok,4.712952425285623,0.7129524252856232,0.31277071367199377,2.279473090416338,0.011319478912292494,4.099921826488515,5.325983024082731,,0.06791687347375497,False,True
disappointment,coordination,50,15,ok,4.246791997961427,0.24679199796142726,0.3879638390252614,0.6361211358808055,0.2623487352145454,3.486382873471915,5.007201122450939,,0.7750308661367602,False,True
disappointment,believability,50,15,ok,4.340853138355683,0.3408531383556834,0.3631797103289848,0.9385247266344342,0.17398740794258277,3.629020906110873,5.052685370600494,,0.5223385360224331,False,True
disliking,naturalness,50,15,ok,5.045748371352229,1.0457483713522286,0.375272317822464,2.786638719904081,0.002662890898297592,4.3102146284202,5.781282114284258,,0.03994336347446388,True,True
disliking,emotion_match,50,15,ok,5.116543930070899,1.1165439300708986,0.33475389324072496,3.3354173098981117,0.0004258573998444916,4.460426299319078,5.772661560822719,,0.005962003597822882,True,True
disliking,coordination,50,15,ok,4.6820874236515655,0.6820874236515655,0.40910841755612076,1.6672534574725488,0.04773200854001324,3.880234925241569,5.4839399220615626,,0.4295880768601192,False,True
disliking,believability,50,15,ok,4.789942270665309,0.7899422706653088,0.395269756808768,1.998489024414493,0.022831834337492373,4.015213547320124,5.564670994010494,,0.2859335865684618,False,True
distress,naturalness,50,15,ok,4.750821466286657,0.7508214662866566,0.3631860878890225,2.0673189070944877,0.019352056910386425,4.038976734024173,5.46266619854914,,0.19352056910386425,False,True
distress,emotion_match,50,15,ok,5.078434300607405,1.0784343006074053,0.304097747138389,3.5463409734391447,0.00019531021250964337,4.482402716216163,5.674465884998647,,0.0029296531876446506,True,True
distress,coordination,50,15,ok,4.599276824693262,0.5992768246932618,0.3632020134737338,1.6499821104009396,0.04947329753914777,3.8874008782847436,5.31115277110178,,0.4295880768601192,False,True
distress,believability,50,15,ok,4.707333616477178,0.707333616477178,0.37714626386382916,1.8754888600263713,0.030362750312678738,3.9681269393040726,5.446540293650283,,0.3339902534394661,False,True
fear,naturalness,50,15,ok,4.672481774388187,0.6724817743881868,0.4219424657659801,1.5937759977948323,0.055493107666733286,3.845474541486866,5.499489007289508,,0.3329586460003997,False,True
fear,emotion_match,50,15,ok,5.029882991650011,1.0298829916500107,0.34969037258795993,2.945128240243324,0.0016141041559420608,4.3444898613776095,5.715276121922412,,0.01775514571536267,True,True
fear,coordination,50,15,ok,4.772188482572935,0.7721884825729353,0.39780430176466824,1.9411265266551692,0.02612146611925418,3.9924920511141853,5.551884914031685,,0.27208896277349404,False,True
fear,believability,50,15,ok,4.78640530398458,0.78640530398458,0.4310521362509548,1.824385585521705,0.034046899819407055,3.9415431169327086,5.631267491036452,,0.34046899819407056,False,True
fearsConfirmed,naturalness,50,15,ok,4.93736509411797,0.9373650941179701,0.3127432808213161,2.9972349578743716,0.0013622032295631393,4.32438826370819,5.55034192452775,,0.023157454902573368,True,True
fearsConfirmed,emotion_match,50,15,ok,5.3882828045881315,1.3882828045881315,0.3268384325592058,4.247611866565442,1.080306441325909e-05,4.747679476772088,6.028886132404175,,0.00019445515943866364,True,True
fearsConfirmed,coordination,50,15,ok,4.896840290577518,0.8968402905775177,0.3719897130364491,2.4109276658670438,0.007956001946165891,4.167740453026077,5.625940128128958,,0.11934002919248837,False,True
fearsConfirmed,believability,50,15,ok,4.931421859121873,0.9314218591218726,0.37317488640879204,2.495939284889478,0.006281205078136481,4.19999908176064,5.662844636483105,,0.08793687109391073,False,True
gloating,naturalness,50,15,ok,4.821901602918409,0.821901602918409,0.4093232436068196,2.007952433084637,0.022324173294346775,4.019628045449043,5.624175160387775,,0.19352056910386425,False,True
gloating,emotion_match,50,15,ok,4.718057235897965,0.7180572358979651,0.36969534917488683,1.9422944797671322,0.026050730461138726,3.993454351515187,5.442660120280744,,0.13025365230569363,False,True
gloating,coordination,50,15,ok,5.006468901353513,1.0064689013535126,0.3438562770838877,2.927004590083353,0.0017112191481951616,4.332510598269093,5.680427204437932,,0.030801944667512907,True,True
gloating,believability,50,15,ok,4.675585296971411,0.6755852969714109,0.37464204140007507,1.8032821261775123,0.035671959120722754,3.9412868958272638,5.409883698115558,,0.34046899819407056,False,True
gratification,naturalness,50,15,ok,5.161496125851188,1.1614961258511878,0.37646470458600456,3.085272302295846,0.0010168293581317074,4.423625304862619,5.8993669468397565,,0.01830292844637073,True,True
gratification,emotion_match,50,15,ok,4.881334959662402,0.8813349596624018,0.32920267195608954,2.6771804567247197,0.0037122317499868125,4.236097722628466,5.526572196696337,,0.033410085749881316,True,True
gratification,coordination,50,15,ok,4.933501109641203,0.9335011096412034,0.34870778076138004,2.6770297686015674,0.0037139017570766535,4.250033859348899,5.616968359933508,,0.06313632987030311,False,True
gratification,believability,50,15,ok,5.131259296956498,1.1312592969564976,0.33633910001908845,3.3634486650297113,0.00038487575377764145,4.472034660919085,5.790483932993911,,0.007312639321775187,True,True
gratitude,naturalness,50,15,ok,4.768309080557474,0.7683090805574739,0.38623011355321435,1.989252141655229,0.023336689629507974,4.011298057993174,5.525320103121774,,0.19352056910386425,False,True
gratitude,emotion_match,50,15,ok,4.87674261932985,0.8767426193298498,0.29498572599548184,2.972152691019627,0.0014785978734512773,4.298570596378705,5.454914642280994,,0.017743174481415328,True,True
gratitude,coordination,50,15,ok,4.604979454733094,0.604979454733094,0.3876583795961732,1.5605994519280244,0.059309144088359494,3.8451690307245947,5.364789878741593,,0.4295880768601192,False,True
gratitude,believability,50,15,ok,4.70750376582948,0.7075037658294798,0.35126001667581563,2.014188157607611,0.021994891274497063,4.019034133144881,5.395973398514078,,0.2859335865684618,False,True
happyfor,naturalness,50,15,ok,5.024208684931614,1.0242086849316143,0.4059056472288335,2.5232678873132457,0.005813489493240901,4.2286336163631,5.819783753500128,,0.08138885290537262,False,True
happyfor,emotion_match,50,15,ok,5.202850184081933,1.2028501840819326,0.3804456782032575,3.1616870764905785,0.0007842901318511246,4.457176654803548,5.948523713360317,,0.01019577171406462,True,True
happyfor,coordination,50,15,ok,5.089533743749994,1.0895337437499943,0.4081711283098504,2.6693062497132543,0.0038004055700399993,4.289518332262688,5.889549155237301,,0.06313632987030311,False,True
